"","id","Detected","SurveyType","year","row_origin","Origin","Origin_update","f_ped","group","anc_prop","allele_count"
"1","-AZH","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"2","-AZH","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"3","-AZH","Yes","Census",2004,"observed","Local","Local",0,"transloc",0,1e+05
"4","-AZH","Yes","Census",2005,"observed","Local","Local",0,"transloc",0,1e+05
"5","-AZH","Yes","Census",2006,"observed","Local","Local",0,"transloc",0,1e+05
"6","-AZH","Yes","Census",2007,"observed","Local","Local",0,"transloc",0,1e+05
"7","-AZH","Yes","Census",2008,"observed","Local","Local",0,"transloc",0,1e+05
"8","-AZH","Yes","Census",2009,"observed","Local","Local",0,"transloc",0,1e+05
"9","-AZH","Yes","Census",2010,"observed","Local","Local",0,"transloc",0,1e+05
"10","-AZH","Yes","Census",2011,"observed","Local","Local",0,"transloc",0,1e+05
"11","-AZH","Yes","Census",2012,"observed","Local","Local",0,"transloc",0,1e+05
"12","-AZH","Yes","Census",2013,"observed","Local","Local",0,"transloc",0,1e+05
"13","-AZO","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"14","-AZW","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"15","-BZA","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"16","-BZA","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"17","-BZA","Yes","Census",2004,"observed","Local","Local",0,"transloc",0,1e+05
"18","-BZA","Yes","Census",2005,"observed","Local","Local",0,"transloc",0,1e+05
"19","-BZA","Yes","Census",2006,"observed","Local","Local",0,"transloc",0,1e+05
"20","-BZA","Yes","Census",2007,"observed","Local","Local",0,"transloc",0,1e+05
"21","-BZA","Yes","Census",2008,"observed","Local","Local",0,"transloc",0,1e+05
"22","-BZA","Yes","Census",2009,"observed","Local","Local",0,"transloc",0,1e+05
"23","-BZA","Yes","Census",2010,"observed","Local","Local",0,"transloc",0,1e+05
"24","-BZA","Yes","Census",2011,"observed","Local","Local",0,"transloc",0,1e+05
"25","-BZA","Yes","Census",2012,"observed","Local","Local",0,"transloc",0,1e+05
"26","-BZA","Yes","Census",2013,"observed","Local","Local",0,"transloc",0,1e+05
"27","-BZA","Yes","Census",2014,"observed","Local","Local",0,"transloc",0,1e+05
"28","-BZA","Yes","Census",2015,"observed","Local","Local",0,"transloc",0,1e+05
"29","-BZA","Yes","Census",2016,"observed","Local","Local",0,"transloc",0,1e+05
"30","-CZB","Yes","Census",2002,"observed","Local","Local",0.0625,"transloc",0,1e+05
"31","-CZB","Yes","Census",2003,"observed","Local","Local",0.0625,"transloc",0,1e+05
"32","-CZB","Yes","Census",2004,"observed","Local","Local",0.0625,"transloc",0,1e+05
"33","-CZB","Yes","Census",2005,"observed","Local","Local",0.0625,"transloc",0,1e+05
"34","-CZC","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"35","-CZC","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"36","-CZC","Yes","Census",2004,"observed","Local","Local",0,"transloc",0,1e+05
"37","-CZC","Yes","Census",2005,"observed","Local","Local",0,"transloc",0,1e+05
"38","-CZC","Yes","Census",2006,"observed","Local","Local",0,"transloc",0,1e+05
"39","-CZC","Yes","Census",2007,"observed","Local","Local",0,"transloc",0,1e+05
"40","-CZC","Yes","Census",2008,"observed","Local","Local",0,"transloc",0,1e+05
"41","-CZC","Yes","Census",2009,"observed","Local","Local",0,"transloc",0,1e+05
"42","-CZC","Yes","Census",2010,"observed","Local","Local",0,"transloc",0,1e+05
"43","-CZG","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"44","-CZG","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"45","-CZG","Yes","Census",2004,"observed","Local","Local",0,"transloc",0,1e+05
"46","-CZG","Yes","Census",2005,"observed","Local","Local",0,"transloc",0,1e+05
"47","-CZG","Yes","Census",2006,"observed","Local","Local",0,"transloc",0,1e+05
"48","-CZG","Yes","Census",2007,"observed","Local","Local",0,"transloc",0,1e+05
"49","-CZG","Yes","Census",2008,"observed","Local","Local",0,"transloc",0,1e+05
"50","-CZG","Yes","Census",2009,"observed","Local","Local",0,"transloc",0,1e+05
"51","-CZG","Yes","Census",2010,"observed","Local","Local",0,"transloc",0,1e+05
"52","-CZG","Yes","Census",2011,"observed","Local","Local",0,"transloc",0,1e+05
"53","-CZG","Yes","Census",2012,"observed","Local","Local",0,"transloc",0,1e+05
"54","-CZG","Yes","Census",2013,"observed","Local","Local",0,"transloc",0,1e+05
"55","-CZP","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"56","-CZP","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"57","-CZP","Yes","Census",2004,"observed","Local","Local",0,"transloc",0,1e+05
"58","-CZP","Yes","Census",2005,"observed","Local","Local",0,"transloc",0,1e+05
"59","-HZA","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"60","-HZA","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
"61","-HZB","Yes","Census",2002,"observed","Local","Local",0,"transloc",0,1e+05
"62","-HZB","Yes","Census",2003,"observed","Local","Local",0,"transloc",0,1e+05
