"","founder_id","year","part_found_f_sum","group","pop_size","pfound_fsum_prop","pfound_fsum_scale","val_cumsum"
"1","ZO-BW",2020,0.00072,"non-transloc",159,0.000207795805987983,4.52830188679245e-06,2.26415094339623e-06
"2","ZO-BP",2020,0.00102,"non-transloc",159,0.000294377391816309,6.41509433962264e-06,7.73584905660378e-06
"3","ZO-BW",2021,0.00168,"non-transloc",172,0.000429004810982523,9.76744186046512e-06,4.88372093023256e-06
"4","ZY-SL",2020,0.00158,"non-transloc",159,0.000455996352029184,9.93710691823899e-06,1.59119496855346e-05
"5","ZS-YS",2020,0.0018,"non-transloc",159,0.000519489514969956,1.13207547169811e-05,2.65408805031447e-05
"6","ZC-LP",2022,0.00196,"non-transloc",167,0.00052311864117264,1.17365269461078e-05,5.86826347305389e-06
"7","ZO-BP",2021,0.00204,"non-transloc",172,0.000520934413335921,1.18604651162791e-05,1.56976744186047e-05
"8","ZC-LP",2020,0.00194,"non-transloc",159,0.000559894255023175,1.22012578616352e-05,3.83018867924528e-05
"9","ZS-YS",2019,0.0018,"non-transloc",146,0.000536464697642536,1.23287671232877e-05,6.16438356164384e-06
"10","FemaleID_2",2020,0.00208,"non-transloc",159,0.000600298995076394,1.30817610062893e-05,5.09433962264151e-05
"11","ZS-YS",2018,0.0018,"non-transloc",137,0.000550600154168043,1.31386861313869e-05,6.56934306569343e-06
"12","FemaleID_2",2019,0.00208,"non-transloc",146,0.000619914761720264,1.42465753424658e-05,1.94520547945205e-05
"13","FemaleID_2",2018,0.00208,"non-transloc",137,0.000636249067038628,1.51824817518248e-05,2.07299270072993e-05
"14","ZB-YO",2016,0.00186,"non-transloc",117,0.000884375089150715,1.58974358974359e-05,7.94871794871795e-06
"15","ZB-CA",2016,0.00192,"non-transloc",117,0.000912903317832996,1.64102564102564e-05,2.41025641025641e-05
"16","ZY-SL",2021,0.0037,"non-transloc",172,0.0009448320241877,2.15116279069767e-05,3.23837209302326e-05
"17","ZY-GO",2020,0.0038,"non-transloc",159,0.0010967000871588,2.38993710691824e-05,6.94339622641509e-05
"18","ZC-BL",2020,0.00406,"non-transloc",159,0.00117173746154335,2.55345911949686e-05,9.41509433962264e-05
"19","ZY-GO",2019,0.0038,"non-transloc",146,0.00113253658391202,2.6027397260274e-05,3.95890410958904e-05
"20","ZY-GO",2018,0.0038,"non-transloc",137,0.00116237810324365,2.77372262773723e-05,4.21897810218978e-05
"21","ZC-BL",2019,0.00406,"non-transloc",146,0.00121002592912705,2.78082191780822e-05,6.65068493150685e-05
"22","ZC-LP",2021,0.00496,"non-transloc",172,0.00126658563242459,2.88372093023256e-05,5.75581395348837e-05
"23","ZC-BL",2018,0.00406,"non-transloc",137,0.00124190923662348,2.96350364963504e-05,7.08759124087591e-05
