"","id","group","allele_count","anc_prop"
"1","-AZH","non-transloc",100000,1
"2","-AZO","non-transloc",100000,1
"3","-AZW","non-transloc",100000,1
"4","-BZA","non-transloc",100000,1
"5","-CZB","non-transloc",100000,1
"6","-CZC","non-transloc",100000,1
"7","-CZG","non-transloc",100000,1
"8","-CZP","non-transloc",100000,1
"9","-GZO","non-transloc",100000,1
"10","-HZA","non-transloc",100000,1
"11","-HZB","non-transloc",100000,1
"12","-HZW","non-transloc",100000,1
"13","-LZG","non-transloc",100000,1
"14","-OZB","non-transloc",100000,1
"15","-OZC","non-transloc",100000,1
"16","-OZG","non-transloc",100000,1
"17","-OZP","non-transloc",100000,1
"18","-PAZ","non-transloc",100000,1
"19","-PZL","non-transloc",100000,1
"20","-PZP","non-transloc",100000,1
"21","-PZS","non-transloc",100000,1
"22","-PZW","non-transloc",100000,1
"23","-SZH","non-transloc",100000,1
"24","-WOZ","non-transloc",100000,1
"25","-WZG","non-transloc",100000,1
"26","-YBZ","non-transloc",100000,1
"27","-YZG","ANF",50000,0.5
"28","-YZG","non-transloc",50000,0.5
"29","-YZO","non-transloc",100000,1
"30","-ZAP","non-transloc",100000,1
"31","-ZBB","non-transloc",100000,1
"32","-ZBL","non-transloc",100000,1
"33","-ZBO","FTB",50000,0.5
"34","-ZBO","non-transloc",50000,0.5
"35","-ZBY","non-transloc",100000,1
"36","-ZCB","non-transloc",100000,1
"37","-ZCY","ANF",50000,0.5
"38","-ZCY","non-transloc",50000,0.5
"39","-ZHL","ANF",50000,0.5
"40","-ZHL","non-transloc",50000,0.5
"41","-ZHO","FTB",50000,0.5
"42","-ZHO","non-transloc",50000,0.5
"43","-ZLB","non-transloc",100000,1
"44","-ZLG","non-transloc",100000,1
"45","-ZLO","non-transloc",100000,1
"46","-ZLP","non-transloc",100000,1
"47","-ZOC","non-transloc",100000,1
"48","-ZOG","ANF",50000,0.5
"49","-ZOG","non-transloc",50000,0.5
"50","-ZOY","ANF",50000,0.5
"51","-ZOY","non-transloc",50000,0.5
"52","-ZPB","non-transloc",100000,1
"53","-ZPH","non-transloc",100000,1
"54","-ZSA","non-transloc",100000,1
"55","-ZWG","non-transloc",100000,1
"56","-ZWH","non-transloc",100000,1
"57","-ZWP","ANF",75025,0.75025
"58","-ZWP","non-transloc",24975,0.24975
"59","-ZWS","non-transloc",100000,1
"60","-ZYA","FTB",50000,0.5
"61","-ZYA","non-transloc",50000,0.5
"62","-ZYS","non-transloc",100000,1
"63","1032","ANF",43740,0.4374
"64","1032","ONF",50000,0.5
"65","1032","non-transloc",6260,0.0626
"66","1033","ANF",43734,0.43734
"67","1033","ONF",50000,0.5
"68","1033","non-transloc",6266,0.06266
"69","1042","ANF",12675,0.12675
"70","1042","FTS",12499,0.12499
