"","id","f_ped"
"1","ZS-YY",0
"2","LL-ZC",0
"3","ZC-LG",0
"4","ZP-GA",0
"5","ZW-OO",0
"6","ZG-AP",0
"7","ZW-OP",0
"8","ZY-WB",0
"9","ZB-SC",0
"10","ZO-BY",0
"11","ZC-LO",0
"12","ZA-PP",0
"13","ZA-PW",0
"14","ZL-CB",0
"15","ZW-PY",0
"16","ZS-GL",0
"17","ZY-GO",0
"18","ZY-GP",0
"19","ZC-BL",0
"20","ZC-BG",0
"21","ZC-BB",0
"22","ZA-PS",0
"23","ZB-CA",0
"24","ZB-CG",0
"25","ZL-SG",0
"26","ZL-SY",0
"27","ZL-SA",0
"28","ZA-PO",0
"29","ZW-PL",0
"30","ZS-GG",0
"31","ZO-BP",0
"32","ZG-AO",0
"33","ZC-BO",0
"34","ZP-AG",0
"35","ZP-AY",0
"36","ZO-OG",0
"37","ZO-OY",0
"38","ZO-OL",0
"39","ZG-YW",0
"40","ZO-OA",0
"41","ZA-WP",0
"42","ZG-YP",0
"43","ZC-LY",0
"44","ZO-YB",0
"45","ZL-CW",0
"46","ZA-WW",0
"47","ZA-WO",0
"48","ZY-GW",0
"49","ZO-OW",0
"50","ZO-OB",0
"51","ZP-GY",0
"52","ZP-AW",0
"53","Z-YYY",0
"54","Z-YLL",0
"55","Z-YGG",0
"56","Z-LLL",0
"57","Z-LYY",0
"58","ZO-BW",0
"59","ZS-YL",0
"60","ZA-PG",0
"61","ZA-PA",0
"62","ZW-PB",0
"63","ZB-CY",0
"64","ZB-CL",0
"65","ZB-CP",0
"66","ZA-PC",0
"67","ZS-YG",0
"68","ZW-OS",0
"69","ZO-LA",0
"70","ZW-YA",0
"71","ZB-YO",0
"72","ZW-WY",0
"73","ZW-WL",0
"74","ZP-GB",0
"75","ZP-GC",0
"76","ZC-LW",0
"77","ZC-LP",0
"78","ZW-WG",0
"79","ZS-YC",0
"80","ZS-YS",0
"81","ZW-CO",0
"82","ZG-SB",0
"83","GS-Z",0
"84","PA-ZA",0
"85","PY-Z",0
"86","SL-ZL",0
"87","PL-Z",0
"88","AB-ZG",0
"89","CL-ZB",0
"90","GO-ZP",0
"91","GP-ZP",0
"92","ZC-BY",0
"93","BA-ZC",0
"94","BL-ZO",0
"95","GL-ZP",0
"96","GG-ZP",0
"97","PA-ZW",0
"98","WL-ZA",0
"99","YG-ZS",0
"100","YA-ZS",0
"101","GY-ZY",0
"102","BC-ZC",0
"103","LL=ZC",0
"104","LC-ZC",0
"105","PO-ZA",0
"106","PY-ZA",0
"107","AO-ZP",0
"108","AY-ZP",0
"109","YB-ZG",0
"110","ZL-SW",0
"111","ZY-LS",0
"112","ZY-LC",0
"113","ZA-LB",0
"114","AL-ZA",0
"115","ZG-WC",0
"116","ZL-AA",0
"117","ZL-AB",0
"118","ZY-SO",0
"119","ZW-BA",0
"120","ZS-GS",0
"121","YY-Z",0
"122","YL-Z",0
"123","B-Z",0
"124","YO-Z",0
"125","YP-Z",0
"126","YW-Z",0
"127","LL-Z",0
"128","LY-Z",0
"129","LG-Z",0
"130","LA-Z",0
"131","LB-Z",0
"132","LO-Z",0
"133","LP-Z",0
"134","LW-Z",0
"135","GG-Z",0
"136","GA-Z",0
"137","GB-Z",0
"138","WG-Z",0
"139","AY-Z",0
"140","AL-Z",0
"141","AG-Z",0
"142","AA-Z",0
"143","AB-Z",0
"144","OA-Z",0
"145","PA-Z",0
"146","YG-Z",0
"147","BY-Z",0
"148","AW-Z",0
"149","BL-Z",0
"150","BA-Z",0
"151","BO-Z",0
"152","AC-Z",0
"153","ZB-WA",0
"154","ZL-AC",0
"155","ZW-AS",0
"156","ZY-BS",0
"157","ZB-BC",0
"158","ZY-WS",0
"159","ZY-SP",0
"160","ZA-CS",0
"161","ZY-SL",0
"162","ZY-CS",0
"163","ZY-YY",0
"164","ZY-YL",0
"165","Z-YY",0
"166","Z-LY",0
"167","Z-GY",0
"168","Z-YA",0
"169","Z-YB",0
"170","Z-YL",0
"171","Z-LL",0
"172","Z-LG",0
"173","Z-AL",0
"174","Z-AA",0
"175","Z-AY",0
"176","Z-LA",0
"177","Z-GG",0
"178","Z-OY",0
"179","Z-OB",0
"180","Z-PY",0
"181","Z-WP",0
"182","Z-WW",0
"183","Z-WL",0
"184","Z-YO",0
"185","Z-LB",0
"186","Z-BY",0
"187","Z-AP",0
"188","Z-OO",0
"189","Z-PP",0
"190","Z-L",0
"191","Z-AO",0
"192","Z-BB",0
"193","Z-BW",0
"194","ZY-LY",0
"195","ZW-LL",0
"196","ZW-GL",0
"197","ZP-P",0
"198","ZW-W",0
"199","Z-W",0
"200","ZG-Y",0
"201","Z=L",0
"202","ZL-A",0
"203","ZY-Y",0
"204","ZW-Y",0
"205","ZY-A",0
"206","OZ-O",0
"207","ZO-P",0
"208","ZL-O",0
"209","ZO-Y",0
"210","ZO-L",0
"211","ZY-B",0
"212","ZB-W",0
"213","ZC-G",0
"214","ZC-O",0
"215","ZP-Y",0
"216","ZP-L",0
"217","ZP-W",0
"218","Z-A",0
"219","ZW-O",0
"220","ZG-G",0
"221","ZB-P",0
"222","ZA-A",0
"223","ZB-Y",0
"224","OZ-W",0
"225","BZ-A",0
"226","AZ-W",0
"227","GZ-C",0
"228","KOW-BZ",0
"229","BZ-O",0
"230","AZ-L",0
"231","YZ-W",0
"232","AZ-Y",0
"233","WZ-O",0
"234","PZ-L",0
"235","GZ-A",0
"236","ZG-CA",0
"237","ZB-YY",0
"238","ZS-C",0
"239","YZ-Y",0
"240","GZ-G",0
"241","LZ-S",0
"242","AZ-B",0
"243","BZ-Y",0
"244","CZ-L",0
"245","OZ-S",0
"246","YZ-G",0
"247","WZ-Y",0
"248","BZ-B",0
"249","CZ-A",0
"250","PZ-Y",0
"251","SZ-S",0
"252","LZ-C",0
"253","LG=Z",0
"254","GZ-B",0
"255","CZ-C",0
"256","SZ-W",0
"257","LZ-P",0
"258","GS-ZY",0
"259","LH-ZB",0
"260","AA-ZS",0
"261","LB-ZL",0
"262","CA-ZC",0
"263","OO-ZL",0
"264","GW-ZW",0
"265","BC-ZY",0
"266","CG-ZG",0
"267","YO-ZY",0
"268","GO-ZO",0
"269","CA-ZY",0
"270","LL-ZY",0
"271","WW-ZG",0
"272","SL-ZS",0
"273","WG-ZS",0
"274","GO-ZB",0
"275","LW-ZB",0
"276","WC-ZS",0
"277","CP-ZL",0
"278","BP-ZC",0
"279","YW-ZC",0
"280","GS-ZH",0
"281","WW-ZO",0
"282","YY-ZH",0
"283","ZB=CL",0
"284","WG-ZA",0
"285","PP-ZY",0
"286","AA-ZB",0
"287","YA-ZP",0.125
"288","ZB-LL",0
"289","ZG-BO",0
"290","WW-ZB",0
"291","OO-ZY",0
"292","ZG-CC",0
"293","GG-ZS",0
"294","AC-ZB",0
"295","ZH-BL",0
"296","ZY-AA",0
"297","WW-ZY",0
"298","ZC-CW",0
"299","ZP-PP",0
"300","YS-ZG",0
"301","ZL-YL",0
"302","GS-ZO",0
"303","BA-ZL",0
"304","ZS-WW",0
"305","YY-ZY",0
"306","PL-ZC",0
"307","CL-ZW",0
"308","Z-SS",0
"309","BL-ZC",0
"310","BB-ZB",0
"311","GG-ZG",0
"312","HBH-Z",0
"313","CAZ-",0
"314","GOZ-",0
"315","-WOZ",0
"316","-YBZ",0
"317","CLZ-",0
"318","PBZ-",0
"319","HLZ-",0
"320","HGZ-",0
"321","LGZ-",0
"322","ACZ-",0
"323","PPZ-",0
"324","YHZ-",0
"325","HAZ-",0
"326","HPZ-",0
"327","YLZ-",0
"328","WAZ-",0
"329","YPZ-",0
"330","GGZ-",0
"331","SHZ-",0.0625
"332","BYZ-",0.0625
"333","HHZ-",0
"334","OOZ-",0
"335","-PAZ",0
"336","GWZ-",0
"337","GAB-ZG",0
"338","ZG-GWO",0
"339","GBK-PZ",0
"340","ZA-GGG",0
"341","LYZ-",0
"342","ABZ-",0
"343","CPZ-",0
"344","BHZ-",0
"345","ZA-AHA",0
"346","YZ-LGL",0
"347","PZ-PAP",0
"348","ZO-AGA",0
"349","-GZO",0
"350","-BZA",0
"351","-OZP",0
"352","-HZW",0
"353","-PZL",0
"354","-OZB",0
"355","-AZH",0
"356","-PZS",0
"357","-YZG",0
"358","-HZB",0
"359","-YZO",0
"360","-CZP",0
"361","-AZO",0
"362","-CZB",0.0625
"363","-CZC",0
"364","-AZW",0
"365","-WZG",0
"366","-HZA",0
"367","-OZG",0
"368","-PZW",0
"369","-CZG",0
"370","-SZH",0
"371","-PZP",0
"372","-OZC",0
"373","HBO-Z",0
"374","OHA-ZK",0
"375","OWO-AZ",0
"376","OAW-PZ",0
"377","ZK-OHP",0
"378","KOL-CZ",0
"379","LY-BZ",0
"380","OG-PZ",0
"381","KAG-PZ",0.0625
"382","BA-CZ",0.0625
"383","PG-YZ",0
"384","KLH-OZ",0
"385","PY-OZ",0
"386","HO-LZ",0
"387","CP-WZ",0
"388","OW-AZ",0
"389","KYH-OZ",0
"390","KPL-SZ",0
"391","KOG-OZ",0
"392","KGW-HZ",0
"393","KPW-LZ",0
"394","KYB-YZ",0
"395","KAO-YZ",0
"396","KLP-HZ",0.25
"397","KCL-GZ",0
"398","AZ-YL",0
"399","HS-GZ",0
"400","KPW-WZ",0
"401","-ZPB",0
"402","-ZWG",0.0625
"403","-ZAP",0.0625
"404","-ZLP",0.25
"405","S-ZG",0
"406","-ZHL",0
"407","G-PZ",0
"408","-ZCY",0
"409","-ZBO",0
"410","-ZPH",0
"411","-ZLG",0
"412","-ZSA",0
"413","-ZOY",0
"414","-ZBB",0
"415","-ZYS",0
"416","-ZWP",0
"417","-ZOG",0
"418","-ZBY",0
"419","ZSP-",0
"420","-ZOC",0
"421","-ZWH",0.03125
"422","-ZLO",0.03125
"423","-ZLB",0
"424","-ZWS",0
"425","-ZCB",0
"426","-ZBL",0
"427","B-ZY",0
"428","-ZYA",0
"429","KKY-WZ",0
"430","ZA-KBY",0
"431","WZ-KAY",0
"432","KYB-ZK",0
"433","CO-Z",0
"434","WL-Z",0
"435","OY-Z",0
"436","GL-Z",0
"437","SY-Z",0
"438","PS-Z",0
"439","HC-Z",0
"440","BL=Z",0
"441","WC-Z",0.03125
"442","GH-Z",0.03125
"443","BB-Z",0
"444","LS-Z",0
"445","PH-Z",0
"446","AO-Z",0
"447","WB-Z",0
"448","PO-Z",0
"449","PB-Z",0
"450","LO=Z",0
"451","GB=Z",0
"452","WH-Z",0
"453","AP-Z",0
"454","BP-Z",0
"455","GS=Z",0
"456","SO-Z",0
"457","CA-Z",0
"458","OL-Z",0
"459","WZ-KOW",0
"460","KBP-ZG",0
"461","Z-YWA",0
"462","Z-YOH",0
"463","Z-YBS",0
"464","Z-YWG",0
"465","Z-YLW",0
"466","Z-YCH",0
"467","Z-YPG",0
"468","Z-YOA",0
"469","Z-YBW",0
"470","Z-YOY",0
"471","Z-YLO",0.03125
"472","Z-YSP",0.03125
"473","Z-YWC",0
"474","Z-YLB",0
"475","483",0
"476","Z-YHA",0
"477","Z-YAB",0
"478","Z-YCG",0.125
"479","Z-YKP",0
"480","Z-YAG",0
"481","Z-YHB",0
"482","Z-YLC",0.015625
"483","Z-YGH",0
"484","Z-YWO",0
"485","SHW-Z",0
"486","SGO-Z",0
"487","S-Z",0
"488","SGA-Z",0
"489","SPL-Z",0
"490","SKL-Z",0
"491","SPY-Z",0
"492","SAW-Z",0
"493","SHA-Z",0
"494","SOP-Z",0
"495","SKH-Z",0
"496","SOB-Z",0
"497","SHL-Z",0.015625
"498","SLK-Z",0
"499","SLG-Z",0
"500","SGS-Z",0
"501","SCB-Z",0
"502","SP-Z",0
"503","SBL-Z",0.0703125
